timestamp,acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z
2025-12-17 14:30:51.485,-0.23,0.16,9.01,-0.01,-0.08,0.12
2025-12-17 14:30:51.508,-0.2,0.09,9.08,-0.01,-0.08,0.13
2025-12-17 14:30:51.531,-0.14,0.21,9.07,-0.01,-0.08,0.13
2025-12-17 14:30:51.554,-0.14,0.21,9.0,-0.0,-0.08,0.13
2025-12-17 14:30:51.577,-0.17,0.15,9.03,-0.0,-0.08,0.13
2025-12-17 14:30:51.600,-0.32,0.18,9.07,-0.0,-0.08,0.13
2025-12-17 14:30:51.623,-0.21,0.18,8.89,-0.01,-0.08,0.13
2025-12-17 14:30:51.645,-0.28,0.18,8.94,-0.01,-0.08,0.13
2025-12-17 14:30:51.668,-0.29,0.23,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:51.692,-0.34,0.23,8.97,-0.01,-0.08,0.13
2025-12-17 14:30:51.715,-0.25,0.17,9.02,-0.01,-0.08,0.13
2025-12-17 14:30:51.738,-0.18,0.14,8.98,-0.01,-0.09,0.13
2025-12-17 14:30:51.760,-0.16,0.17,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:51.784,-0.15,0.14,9.11,-0.01,-0.08,0.13
2025-12-17 14:30:51.807,-0.16,0.13,9.08,-0.01,-0.08,0.13
2025-12-17 14:30:51.830,-0.19,0.19,8.99,-0.01,-0.08,0.13
2025-12-17 14:30:51.853,-0.2,0.15,9.02,-0.0,-0.08,0.13
2025-12-17 14:30:51.876,-0.26,0.13,9.04,-0.0,-0.08,0.13
2025-12-17 14:30:51.899,-0.29,0.22,9.09,-0.0,-0.08,0.13
2025-12-17 14:30:51.922,-0.29,0.28,9.05,-0.0,-0.08,0.13
2025-12-17 14:30:51.945,-0.28,0.2,9.0,-0.01,-0.08,0.13
2025-12-17 14:30:51.968,-0.22,0.2,9.02,-0.01,-0.08,0.13
2025-12-17 14:30:51.991,-0.26,0.11,9.02,-0.01,-0.08,0.13
2025-12-17 14:30:52.014,-0.2,0.21,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:52.037,-0.24,0.26,9.11,-0.01,-0.08,0.13
2025-12-17 14:30:52.060,-0.24,0.15,9.0,-0.01,-0.08,0.13
2025-12-17 14:30:52.083,-0.16,0.2,9.01,-0.01,-0.08,0.13
2025-12-17 14:30:52.106,-0.25,0.16,9.09,-0.01,-0.08,0.13
2025-12-17 14:30:52.129,-0.16,0.16,8.96,-0.01,-0.08,0.12
2025-12-17 14:30:52.152,-0.19,0.28,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:52.175,-0.13,0.23,9.04,-0.01,-0.08,0.13
2025-12-17 14:30:52.198,-0.11,0.2,9.08,-0.01,-0.08,0.12
2025-12-17 14:30:52.221,-0.27,0.21,8.98,-0.01,-0.08,0.12
2025-12-17 14:30:52.244,-0.24,0.24,9.03,-0.01,-0.08,0.12
2025-12-17 14:30:52.267,-0.31,0.21,9.1,-0.01,-0.08,0.13
2025-12-17 14:30:52.290,-0.29,0.2,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:52.312,-0.3,0.15,8.95,-0.01,-0.08,0.13
2025-12-17 14:30:52.336,-0.28,0.17,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:52.359,-0.22,0.15,9.09,-0.01,-0.08,0.13
2025-12-17 14:30:52.381,-0.23,0.14,9.05,-0.0,-0.08,0.13
2025-12-17 14:30:52.405,-0.2,0.18,9.02,-0.0,-0.08,0.13
2025-12-17 14:30:52.428,-0.26,0.16,8.95,-0.0,-0.08,0.13
2025-12-17 14:30:52.451,-0.15,0.19,9.1,-0.0,-0.08,0.13
2025-12-17 14:30:52.474,-0.19,0.18,9.05,-0.01,-0.08,0.12
2025-12-17 14:30:52.497,-0.19,0.23,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:52.520,-0.26,0.21,9.03,-0.01,-0.08,0.12
2025-12-17 14:30:52.543,-0.3,0.26,9.01,-0.01,-0.08,0.12
2025-12-17 14:30:52.566,-0.28,0.16,8.99,-0.01,-0.08,0.13
2025-12-17 14:30:52.589,-0.27,0.17,9.0,-0.01,-0.08,0.12
2025-12-17 14:30:52.612,-0.23,0.15,9.13,-0.01,-0.08,0.13
2025-12-17 14:30:52.635,-0.19,0.1,9.11,-0.01,-0.08,0.13
2025-12-17 14:30:52.658,-0.28,0.16,8.94,-0.0,-0.08,0.13
2025-12-17 14:30:52.681,-0.25,0.21,9.01,-0.0,-0.08,0.13
2025-12-17 14:30:52.704,-0.27,0.14,9.02,-0.0,-0.08,0.13
2025-12-17 14:30:52.726,-0.23,0.19,9.1,-0.01,-0.08,0.12
2025-12-17 14:30:52.749,-0.19,0.21,8.98,-0.01,-0.08,0.13
2025-12-17 14:30:52.773,-0.25,0.22,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:52.796,-0.11,0.2,8.97,-0.01,-0.08,0.13
2025-12-17 14:30:52.819,-0.16,0.28,8.99,-0.01,-0.08,0.13
2025-12-17 14:30:52.842,-0.22,0.16,9.04,-0.01,-0.08,0.13
2025-12-17 14:30:52.865,-0.21,0.09,9.16,-0.01,-0.08,0.12
2025-12-17 14:30:52.888,-0.28,0.18,9.06,-0.01,-0.08,0.12
2025-12-17 14:30:52.911,-0.32,0.19,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:52.934,-0.18,0.11,9.01,-0.01,-0.08,0.13
2025-12-17 14:30:52.957,-0.24,0.19,9.07,-0.01,-0.08,0.13
2025-12-17 14:30:52.980,-0.26,0.2,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:53.003,-0.21,0.2,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:53.026,-0.22,0.23,9.12,-0.01,-0.08,0.13
2025-12-17 14:30:53.048,-0.2,0.19,9.04,-0.01,-0.08,0.13
2025-12-17 14:30:53.072,-0.21,0.26,9.07,-0.01,-0.08,0.12
2025-12-17 14:30:53.095,-0.23,0.19,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:53.117,-0.27,0.18,8.97,-0.01,-0.08,0.13
2025-12-17 14:30:53.141,-0.26,0.15,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:53.164,-0.2,0.13,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:53.187,-0.18,0.12,9.08,-0.01,-0.08,0.13
2025-12-17 14:30:53.209,-0.22,0.22,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:53.233,-0.21,0.16,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:53.256,-0.21,0.14,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:53.279,-0.24,0.19,9.13,-0.01,-0.08,0.13
2025-12-17 14:30:53.302,-0.2,0.2,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:53.325,-0.23,0.18,9.01,-0.01,-0.08,0.13
2025-12-17 14:30:53.348,-0.16,0.16,9.0,-0.01,-0.08,0.12
2025-12-17 14:30:53.371,-0.18,0.18,8.95,-0.01,-0.08,0.12
2025-12-17 14:30:53.394,-0.22,0.13,9.04,-0.01,-0.08,0.13
2025-12-17 14:30:53.416,-0.19,0.09,8.99,-0.01,-0.08,0.13
2025-12-17 14:30:53.440,-0.23,0.19,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:53.463,-0.23,0.16,8.96,-0.01,-0.08,0.13
2025-12-17 14:30:53.486,-0.19,0.2,9.01,-0.01,-0.08,0.13
2025-12-17 14:30:53.509,-0.21,0.11,9.05,-0.0,-0.08,0.13
2025-12-17 14:30:53.532,-0.23,0.23,9.01,-0.01,-0.08,0.13
2025-12-17 14:30:53.555,-0.27,0.23,9.04,-0.01,-0.08,0.12
2025-12-17 14:30:53.578,-0.23,0.22,9.19,-0.01,-0.08,0.13
2025-12-17 14:30:53.601,-0.19,0.26,9.1,-0.01,-0.08,0.13
2025-12-17 14:30:53.624,-0.17,0.16,9.07,-0.01,-0.08,0.13
2025-12-17 14:30:53.647,-0.2,0.13,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:53.670,-0.23,0.23,9.01,-0.01,-0.08,0.13
2025-12-17 14:30:53.693,-0.24,0.16,9.05,-0.01,-0.08,0.12
2025-12-17 14:30:53.715,-0.21,0.14,8.9,-0.01,-0.08,0.13
2025-12-17 14:30:53.739,-0.2,0.22,9.09,-0.01,-0.08,0.13
2025-12-17 14:30:53.762,-0.21,0.16,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:53.785,-0.18,0.22,9.04,-0.01,-0.08,0.13
2025-12-17 14:30:53.808,-0.21,0.23,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:53.831,-0.19,0.17,9.05,-0.01,-0.08,0.12
2025-12-17 14:30:53.853,-0.25,0.16,9.09,-0.01,-0.08,0.13
2025-12-17 14:30:53.876,-0.24,0.21,9.04,-0.01,-0.08,0.13
2025-12-17 14:30:53.899,-0.21,0.14,9.02,-0.01,-0.08,0.13
2025-12-17 14:30:53.923,-0.21,0.12,9.02,-0.01,-0.08,0.13
2025-12-17 14:30:53.946,-0.25,0.21,9.01,-0.01,-0.08,0.12
2025-12-17 14:30:53.969,-0.25,0.15,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:53.992,-0.19,0.17,9.07,-0.01,-0.08,0.12
2025-12-17 14:30:54.015,-0.27,0.25,9.13,-0.01,-0.08,0.13
2025-12-17 14:30:54.038,-0.11,0.08,8.94,-0.01,-0.08,0.13
2025-12-17 14:30:54.061,-0.22,0.25,9.07,-0.01,-0.08,0.13
2025-12-17 14:30:54.084,-0.17,0.16,9.12,-0.01,-0.08,0.13
2025-12-17 14:30:54.107,-0.24,0.14,9.02,-0.01,-0.08,0.12
2025-12-17 14:30:54.130,-0.25,0.18,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:54.153,-0.26,0.15,9.08,-0.01,-0.08,0.13
2025-12-17 14:30:54.176,-0.22,0.16,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:54.199,-0.27,0.22,8.96,-0.01,-0.08,0.13
2025-12-17 14:30:54.222,-0.3,0.15,9.1,-0.0,-0.08,0.13
2025-12-17 14:30:54.245,-0.27,0.21,8.94,-0.01,-0.08,0.13
2025-12-17 14:30:54.268,-0.26,0.23,8.94,-0.01,-0.08,0.13
2025-12-17 14:30:54.291,-0.25,0.29,8.96,-0.0,-0.08,0.13
2025-12-17 14:30:54.313,-0.23,0.21,9.04,-0.01,-0.08,0.13
2025-12-17 14:30:54.337,-0.17,0.17,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:54.360,-0.19,0.25,9.0,-0.01,-0.08,0.12
2025-12-17 14:30:54.383,-0.2,0.22,9.02,-0.01,-0.08,0.13
2025-12-17 14:30:54.406,-0.23,0.19,8.97,-0.01,-0.08,0.13
2025-12-17 14:30:54.429,-0.27,0.19,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:54.452,-0.17,0.1,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:54.475,-0.25,0.13,9.07,-0.01,-0.08,0.12
2025-12-17 14:30:54.498,-0.25,0.19,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:54.521,-0.23,0.2,9.07,-0.0,-0.08,0.13
2025-12-17 14:30:54.544,-0.25,0.24,9.04,-0.01,-0.08,0.13
2025-12-17 14:30:54.567,-0.28,0.22,9.13,-0.01,-0.08,0.13
2025-12-17 14:30:54.589,-0.33,0.24,9.0,-0.01,-0.08,0.13
2025-12-17 14:30:54.613,-0.2,0.22,9.07,-0.01,-0.08,0.13
2025-12-17 14:30:54.635,-0.18,0.21,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:54.659,-0.25,0.17,9.01,-0.01,-0.08,0.13
2025-12-17 14:30:54.681,-0.21,0.16,9.18,-0.01,-0.08,0.13
2025-12-17 14:30:54.704,-0.14,0.13,9.04,-0.01,-0.08,0.13
2025-12-17 14:30:54.728,-0.2,0.16,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:54.751,-0.18,0.11,9.11,-0.0,-0.08,0.13
2025-12-17 14:30:54.774,-0.23,0.18,8.95,-0.01,-0.08,0.13
2025-12-17 14:30:54.797,-0.26,0.17,8.89,-0.01,-0.08,0.12
2025-12-17 14:30:54.820,-0.25,0.24,9.0,-0.01,-0.08,0.13
2025-12-17 14:30:54.843,-0.26,0.21,8.99,-0.01,-0.08,0.13
2025-12-17 14:30:54.866,-0.26,0.16,8.92,-0.01,-0.08,0.12
2025-12-17 14:30:54.889,-0.17,0.12,9.07,-0.01,-0.08,0.12
2025-12-17 14:30:54.912,-0.16,0.17,9.0,-0.01,-0.08,0.12
2025-12-17 14:30:54.935,-0.22,0.15,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:54.958,-0.21,0.15,9.04,-0.01,-0.08,0.13
2025-12-17 14:30:54.981,-0.24,0.13,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:55.004,-0.22,0.21,9.06,-0.01,-0.09,0.13
2025-12-17 14:30:55.027,-0.19,0.16,8.98,-0.01,-0.08,0.13
2025-12-17 14:30:55.050,-0.22,0.12,9.12,-0.01,-0.08,0.13
2025-12-17 14:30:55.072,-0.2,0.25,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:55.096,-0.16,0.2,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:55.119,-0.26,0.23,9.03,-0.01,-0.08,0.13
2025-12-17 14:30:55.142,-0.25,0.25,8.94,-0.01,-0.08,0.13
2025-12-17 14:30:55.165,-0.23,0.23,8.98,-0.01,-0.08,0.13
2025-12-17 14:30:55.188,-0.18,0.14,9.03,-0.01,-0.08,0.12
2025-12-17 14:30:55.211,-0.23,0.17,8.98,-0.01,-0.08,0.13
2025-12-17 14:30:55.234,-0.25,0.17,8.96,-0.01,-0.08,0.12
2025-12-17 14:30:55.257,-0.2,0.11,9.09,-0.01,-0.08,0.12
2025-12-17 14:30:55.280,-0.17,0.11,8.99,-0.01,-0.08,0.13
2025-12-17 14:30:55.303,-0.18,0.13,9.06,-0.01,-0.08,0.13
2025-12-17 14:30:55.325,-0.18,0.16,9.08,-0.01,-0.08,0.13
2025-12-17 14:30:55.348,-0.2,0.14,9.05,-0.01,-0.08,0.13
2025-12-17 14:30:55.372,-0.28,0.23,9.02,-0.01,-0.08,0.13
